cost,reward,clicks
0.0,17.55275,14.30272
0.001,17.5494,8.51843
0.00118444,17.6238,8.50419
0.00140289,17.57445,8.50898
0.00166163,17.56475,8.52164
0.00196809,17.5525,8.52115
0.00233108,17.59855,8.50865
0.00276101,17.58335,8.51256
0.00327024,17.6094,8.50946
0.00387339,17.5808,8.5095
0.00458778,17.6276,8.50534
0.00543393,17.5757,8.51251
0.00643614,17.5836,8.49696
0.0076232,17.6203,8.50086
0.00902919,17.60525,8.50372
0.01069449,17.5595,8.52254
0.01266693,17.5949,8.50902
0.01500316,17.58805,8.50254
0.01777028,17.5687,8.51712
0.02104775,17.5664,8.51121
0.02492971,17.56735,8.51814
0.02952763,17.6398,8.4992
0.03497357,17.55705,8.51447
0.04142394,17.6114,8.49647
0.04906399,17.60355,8.51672
0.05811313,17.57915,8.51116
0.06883126,17.5939,8.51244
0.08152619,17.55765,8.52007
0.09656251,17.559,8.52264
0.11437207,17.5167,8.3751
0.13546635,17.55575,8.17808
0.16045116,17.53395,8.18488
0.19004405,17.53645,8.18586
0.22509493,17.55495,8.17743
0.26661043,17.5235,8.15746
0.31578287,17.5246,8.10612
0.37402445,17.41915,7.72156
0.44300785,17.2608,7.49646
0.52471424,17.19675,7.30259
0.62149019,17.19995,7.29457
0.73611507,17.14195,7.20484
0.87188084,16.86005,6.87578
1.03268665,16.8133,6.83866
1.22315077,16.40565,6.435
1.44874323,15.28595,5.5317
1.71594297,15.0199,5.40598
2.03242383,14.5658,5.12704
2.407275,10.29765,3.19908
2.85126206,6.5729,1.7501
3.3771361,6.55735,1.75278
4.0,0.0,0.0
100.0,0.0,0.0
