wid,model,nll,β_term,β_click,ε,θ_term
w00c1a6f,DepthFirst,372.90912800569436,0.13715572303322332,7.384704959268974e-16,2.4224113839254707e-16,29.534835388136518
w2166775,DepthFirst,228.19901643614443,0.47436535831870874,0.5795318475866822,8.791784490594022e-19,13.306547755604653
w24c11a5,DepthFirst,317.95633466745903,0.253939490496937,1.1028221936413737e-18,2.274829825256695e-16,19.06858779442125
w25f3672,DepthFirst,364.44897385700415,0.1869702238879376,1.0327468156164615e-20,2.352538885612402e-18,28.363579993696383
w37ddee7,DepthFirst,318.03649608386365,0.22004586613432175,2.8721744225684994e-21,1.8161351798615132e-25,20.12596920439038
w6b40f8b,DepthFirst,304.7996884804303,0.2662983743216212,2.4988027693557307e-18,1.471243543776352e-20,17.70681043422795
w7bc69aa,DepthFirst,176.90993273246644,0.7749755867703999,0.19971282476382027,0.10223310546638756,3.379606337092113
w848ec94,DepthFirst,281.8691122838932,0.24427118178984727,2.4080773909370953e-18,4.156362638692867e-17,16.53037678702746
w88de4da,DepthFirst,318.7092988724611,0.19890642460274868,0.5007509656697624,2.0898283704697806e-16,24.959302479518033
w8b1bf10,DepthFirst,290.3157396853914,0.2635664099904223,0.2511898096782893,2.26842278984854e-16,19.30782453166174
w931ff91,DepthFirst,309.34161874389025,0.4040642772641004,9.306584445304596e-16,4.871008863568788e-19,14.941367039162412
w9901324,DepthFirst,302.70913567361004,0.44780822647895296,7.45471417391268e-23,1.0222787043223516e-25,14.445043691141707
wa48a6b4,DepthFirst,327.05403112990905,0.22211518682880513,3.050771440315599e-15,6.506669430787937e-19,21.68167496274996
wa72b9a8,DepthFirst,343.4463521172942,0.18450134334485707,5.185991531338031e-16,9.95160519218683e-19,24.106388034385176
wa99cc1f,DepthFirst,281.36269123965195,0.17764742397842645,0.5454215836681715,2.302782584334104e-16,25.30652625105489
wb75116f,DepthFirst,315.67179738530194,0.2872539732791945,1.1625901901327627e-15,1.0170931830653e-15,16.216650539443126
wbbb68d2,DepthFirst,212.47608826299492,0.2922959666247586,0.7566664711772731,5.369726283000821e-16,13.579571695687395
wc58fa66,DepthFirst,430.97890110494836,0.22497402744240005,8.880075231069057e-20,1.8914544240648308e-17,29.99999999999998
wc60f500,DepthFirst,271.771378952807,0.3517895918925333,0.36581938876884595,1.0956941199316928e-15,12.49470100590068
wc8c5efa,DepthFirst,177.62638224273508,0.29392304415220977,2.9999999999999982,3.714592944721693e-19,29.999999999999996
wca8515f,DepthFirst,460.84519547701234,0.2821481530350039,5.722762640214904e-17,4.2328657845733955e-22,29.999999999999996
wdc50360,DepthFirst,13.862943611198906,4.0850151779599055e-17,1.4999988813915415,2.992482538730365e-22,0.0018222996882686104
we5f05f5,DepthFirst,277.7670513230208,0.20215404288155583,0.033823041410365205,2.1695566903088948e-20,18.491081473131523
webd9df9,DepthFirst,356.3652204844223,0.3191628596295208,1.320995653250657e-17,1.78598542969995e-15,20.653746263184704
wecdd55c,DepthFirst,276.4055899632262,0.14915445247243936,2.6568614168818483e-18,2.2383287404125288e-16,20.507710052887745
wf37ba84,DepthFirst,302.9485884948318,0.19412747097521224,7.96557732449786e-17,1.6249512125608388e-15,20.094865289929015
