wid,model,nll,cost,β,ε
w00c1a6f,Optimal,322.08999922141066,0.03497357,43.93011485365578,1.7886820275438096e-17
w2166775,Optimal,196.60348221464503,0.73611507,3.508698329406343,1.77307085228736e-18
w24c11a5,Optimal,261.15379548298023,0.22509493,10.083334591501442,9.97055513839822e-16
w25f3672,Optimal,344.6951332038874,0.02492971,45.719090383126826,3.7049816525866807e-16
w37ddee7,Optimal,258.6570009841625,0.04906399,45.54555049634355,6.003459949364907e-16
w6b40f8b,Optimal,235.67686980651928,0.13546635,20.640348022052372,2.322647937274034e-15
w7bc69aa,Optimal,139.88294456151795,1.71594297,5.863666935664775,0.2572013045896163
w848ec94,Optimal,245.04565699842615,0.09656251,49.99999999999994,0.2707706108848511
w88de4da,Optimal,289.6723630204092,0.11437207,11.780775779638445,2.756751781339833e-16
w8b1bf10,Optimal,268.64735674432455,0.62149019,2.4229362973837936,5.442170958411132e-16
w931ff91,Optimal,263.8897425231324,0.44300785,4.663134540083639,5.656545000215564e-19
w9901324,Optimal,268.44143260448584,0.09656251,26.25181889814236,0.07165808610253444
wa48a6b4,Optimal,282.04121837177297,0.03497357,48.00527113602855,4.201419179231428e-16
wa72b9a8,Optimal,305.73038087681186,0.03497357,43.06254373433771,3.603822801373408e-16
wa99cc1f,Optimal,267.5024566940063,1.03268665,1.4333107774063922,2.5756248704305166e-15
wb75116f,Optimal,260.05380304096815,0.05811313,46.55086584132512,0.037112627316941246
wbbb68d2,Optimal,193.32724988202045,1.44874323,1.573031424124582,3.350696617585661e-20
wc58fa66,Optimal,429.99215586337704,0.02492971,31.96083282060306,2.462552167991864e-25
wc60f500,Optimal,266.12609016472254,1.22315077,0.9939686890223519,9.748053067771078e-16
wc8c5efa,Optimal,322.56506889480016,0.0,49.99999999999999,9.791403242101113e-18
wca8515f,Optimal,467.9909387944495,0.0,24.99975634053301,4.8059168221425415e-20
wdc50360,Optimal,-0.0,100.0,25.000000000014357,6.216004269919744e-19
we5f05f5,Optimal,211.06062073773532,0.31578287,49.99999999999958,0.28906485757699146
webd9df9,Optimal,332.86194915505246,0.02952763,47.214524313034985,1.7260038694226777e-19
wecdd55c,Optimal,250.55136746160576,0.73611507,3.35699266342772,0.23923437104616135
wf37ba84,Optimal,252.09120798706292,0.26661043,30.481792010005986,0.32372542295738244
